Skipped,0.01,378
Skipped,0.02,1512
Skipped,0.03,3110
Skipped,0.04,5594
Skipped,0.05,8700
Skipped,0.06,12571
Skipped,0.07,16830
Skipped,0.08,22018
Skipped,0.09,27631
Skipped,0.1,33872
Skipped,0.11,40639
Skipped,0.12,48044
Skipped,0.13,56153
Skipped,0.14,64755
Skipped,0.15,74171
Skipped,0.16,83836
Skipped,0.17,93977
Skipped,0.18,104575
Skipped,0.19,115660
Skipped,0.2,126912
Skipped,0.21,138397
Skipped,0.22,149691
Skipped,0.23,161093
Skipped,0.24,172582
Skipped,0.25,183941
Skipped,0.26,194780
Skipped,0.27,206472
Skipped,0.28,216003
Skipped,0.29,224952
Skipped,0.3,232744
Skipped,0.31,238792
Skipped,0.32,242984
Skipped,0.33,246131
Skipped,0.34,248944
Skipped,0.35,250455
Skipped,0.36,251165
Skipped,0.37,251754
Skipped,0.38,252352
Skipped,0.39,252700
Skipped,0.4,252798
Skipped,0.41,252725
Skipped,0.42,252679
Skipped,0.43,253011
Skipped,0.44,252969
Skipped,0.45,253075
Skipped,0.46,253190
Skipped,0.47,253238
Skipped,0.48,253169
Skipped,0.49,253027
Skipped,0.5,252958
