0.01,442155
0.02,1677224
0.03,3573986
0.04,6157106
0.05,9173947
0.06,12476623
0.07,15779530
0.08,19047177
0.09,22170478
0.1,25166323
0.11,27966687
0.12,30582312
0.13,32968566
0.14,35150515
0.15,37140033
0.16,38904534
0.17,40486343
0.18,41881423
0.19,43109177
0.2,44170366
0.21,45090981
0.22,45883540
0.23,46565683
0.24,47155638
0.25,47658964
0.26,48084198
0.27,48449978
0.28,48769496
0.29,49038789
0.3,49276821
0.31,49470135
0.32,49638130
0.33,49782472
0.34,49904324
0.35,50010483
0.36,50102658
0.37,50180108
0.38,50251119
0.39,50310130
0.4,50355839
0.41,50398121
0.42,50437398
0.43,50468738
0.44,50495133
0.45,50517604
0.46,50536809
0.47,50553045
0.48,50572123
0.49,50586105
0.5,50600859
