0.01,200512
0.02,774873
0.03,1684814
0.04,2978509
0.05,4576766
0.06,6512638
0.07,8687691
0.08,11126094
0.09,13722785
0.1,16444109
0.11,19153302
0.12,21886988
0.13,24528306
0.14,27101265
0.15,29561048
0.16,31872379
0.17,34034084
0.18,36020199
0.19,37844730
0.2,39475509
0.21,40907545
0.22,42163405
0.23,43253263
0.24,44201573
0.25,45015892
0.26,45704959
0.27,46281700
0.28,46769307
0.29,47178269
0.3,47517942
0.31,47804772
0.32,48048764
0.33,48257090
0.34,48437564
0.35,48595717
0.36,48728592
0.37,48850743
0.38,48957279
0.39,49056579
0.4,49140824
0.41,49222375
0.42,49294893
0.43,49364802
0.44,49425730
0.45,49482515
0.46,49538157
0.47,49583145
0.48,49630810
0.49,49669699
0.5,49702391
